section,run_id,method,n,metric,mean,std
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,TTE-Err@1,,
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,AUROC,,
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,LogLoss,,
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,ECE@10,,
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,BestF1,,
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,Precision@P80,0.6666666666666666,0.4714045207910317
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,Recall@P80,0.09523809523809523,0.06734350297014738
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,AUPRC,0.06369040414637456,0.009806838995552436
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,LeadTime@P80,0.0,0.0
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,Brier,0.03980321847975782,0.00033909750144688777
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,Analog-Fidelity@5,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,TTE-Err@1,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,AUROC,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,LogLoss,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,ECE@10,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,BestF1,,
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,Precision@P80,0.0,0.0
chrono_main,r021_patchtst_forecaster_atlasv2_public,PatchTST-Forecaster,3,Recall@P80,0.0,0.0
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,AUPRC,0.5380516309087737,0.04923648165090529
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,LeadTime@P80,1.6666666666666667,2.3570226039551585
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,Brier,0.03443687802535194,0.002181391739973098
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,Analog-Fidelity@5,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,TTE-Err@1,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,AUROC,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,LogLoss,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,ECE@10,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,BestF1,,
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,Precision@P80,0.3333333333333333,0.4714045207910317
chrono_main,r006_transformer_forecaster_atlasv2_public,Small-Transformer-Forecaster,3,Recall@P80,0.047619047619047616,0.06734350297014738
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,AUPRC,0.07654975173560775,0.017384393280934454
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,LeadTime@P80,0.0,0.0
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,Brier,0.039810180909426125,0.0005983940983790343
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,Analog-Fidelity@5,,
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,TTE-Err@1,,
